Country,Year,Gender,State Name ,Type Of Area,"Percentage Of Unemployment Rate (Ur)  (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2022",Male,Meghalaya,Urban,5.0
India,"Financial Year (Apr - Mar), 2022",Total,Meghalaya,Urban,7.3
India,"Financial Year (Apr - Mar), 2022",Female,Mizoram,Rural,3.6
India,"Financial Year (Apr - Mar), 2022",Male,Mizoram,Rural,2.8
India,"Financial Year (Apr - Mar), 2022",Total,Mizoram,Rural,3.1
India,"Financial Year (Apr - Mar), 2022",Female,Mizoram,Total,3.9
India,"Financial Year (Apr - Mar), 2022",Male,Mizoram,Total,3.7
India,"Financial Year (Apr - Mar), 2022",Total,Mizoram,Total,3.8
India,"Financial Year (Apr - Mar), 2022",Female,Mizoram,Urban,4.3
India,"Financial Year (Apr - Mar), 2022",Male,Mizoram,Urban,4.8
India,"Financial Year (Apr - Mar), 2022",Total,Mizoram,Urban,4.6
India,"Financial Year (Apr - Mar), 2022",Female,Nagaland,Rural,17.6
India,"Financial Year (Apr - Mar), 2022",Male,Nagaland,Rural,20.7
India,"Financial Year (Apr - Mar), 2022",Total,Nagaland,Rural,19.4
India,"Financial Year (Apr - Mar), 2022",Female,Nagaland,Total,20.8
India,"Financial Year (Apr - Mar), 2022",Male,Nagaland,Total,20.8
India,"Financial Year (Apr - Mar), 2022",Total,Nagaland,Total,20.8
India,"Financial Year (Apr - Mar), 2022",Female,Nagaland,Urban,33.8
India,"Financial Year (Apr - Mar), 2022",Male,Nagaland,Urban,21.2
India,"Financial Year (Apr - Mar), 2022",Total,Nagaland,Urban,25.0
India,"Financial Year (Apr - Mar), 2022",Female,Sikkim,Rural,0.4
India,"Financial Year (Apr - Mar), 2022",Male,Sikkim,Rural,0.8
India,"Financial Year (Apr - Mar), 2022",Total,Sikkim,Rural,0.6
India,"Financial Year (Apr - Mar), 2022",Female,Sikkim,Total,0.9
India,"Financial Year (Apr - Mar), 2022",Male,Sikkim,Total,1.4
India,"Financial Year (Apr - Mar), 2022",Total,Sikkim,Total,1.2
India,"Financial Year (Apr - Mar), 2022",Female,Sikkim,Urban,3.6
